,score
coconut oil,108.16319693912776
potato chip,39.95341748286985
gas station,32.427283576320356
_sweet_ potato,30.50914409035505
french vanilla,27.21107836896331
taste good,26.295472449407548
_savory_ vinegar,25.322625494239638
grove square,23.094655540100597
great taste,22.6647715335281
taste great,21.84553084921439
instant coffee,21.572010663063907
use coconut,20.74083735930995
highly recommend,20.277336014719022
love product,18.746460520948137
coconut flavor,18.397415552221997
pop chips,17.929696263273065
really good,17.6457790191012
also use,17.591103641948482
great product,17.309825532537452
extra virgin,17.125171495606736
oil use,16.268579566247336
_savory_ pepper,15.456387363696054
subscribe save,15.42940210126541
great price,15.059908679416719
would recommend,14.926804074519726
first time,14.725740964873786
pop chip,14.523371709687371
regular chip,13.886315164826033
virgin coconut,13.421522347849981
use cook,13.359955213564767
love chip,13.128277807199193
vanilla cappuccino,12.995636033009774
olive oil,12.876263846019716
give try,12.610963594346485
single serve,12.337584766480903
low calorie,12.303025242746706
use hair,11.769494987065334
good price,11.64250080520521
love coconut,11.567489852187785
grocery store,11.518589075519913
coffee taste,11.491283255494306
every day,11.437447848744092
sea _savory_,11.080993694023304
hair skin,10.960989036856873
product use,10.838350849716738
station cappuccino,10.830061814326719
chili lime,10.824359282295246
use oil,10.756944410803278
absolutely love,10.71000696397772
regular potato,10.400222102167337
taste coconut,10.374092092998254
hot water,10.35870923523263
cream _sweet_,10.222759701904325
bbq flavor,10.215545966250117
low fat,10.124884851183296
love taste,10.067501415258155
health benefit,10.004240965769753
favorite flavor,9.929721190019341
good taste,9.871730437932422
potato flavor,9.855176142723106
variety pack,9.840964189296887
try flavor,9.69100858226362
sour cream,9.626421251049637
cup coffee,9.588660817542092
use product,9.395826872670408
organic extra,9.393143665691714
chip taste,9.243965660967666
husband love,9.234145855687036
love love,9.151116263232861
cappuccino cup,9.140376719143806
good product,9.068149473102439
skin hair,8.971442750297177
cream onion,8.899731923178434
much well,8.70616595610697
love flavor,8.694636815116883
really enjoy,8.679965150352418
product great,8.542320224639312
flavor great,8.51311925641597
much good,8.496634209083794
work well,8.443860127388655
chip great,8.389358148507823
_sweet_ taste,8.315423375513255
taste well,8.302388467523086
great flavor,8.296943030849581
great deal,8.261684907539316
recommend anyone,8.209422127516516
smell coconut,8.197105075980524
pretty good,8.159941199814535
nutiva organic,8.119738433118487
regular coffee,8.1058710829723
oil cook,8.065046748614789
square cappuccino,8.055901448916092
coconut taste,8.054816032013713
love popchips,8.034999892252355
hot chocolate,7.959046669377845
stir fry,7.8779976160038725
chip _good_taste_,7.8474616532672705
artificial sweetener,7.82868805079598
start use,7.824398656507642
price great,7.774803553951459
vegetable oil,7.734406099798876
flavor one,7.723439104555444
one best,7.694346896185374
saturate fat,7.665770118837976
recommend product,7.642422771168739
use cooking,7.583801539416261
product good,7.53218360056389
small cup,7.530309484832747
original flavor,7.483273099040229
coffee drinker,7.4714613549018045
coffee cup,7.439890131485159
cold press,7.395858886748713
taste much,7.374882371753082
fat calorie,7.3343026257581165
gram fat,7.3107331951300765
really great,7.294956697852179
dry skin,7.258053974367989
time try,7.250488428395255
chip good,7.206223070626841
easy use,7.187971834672473
one cup,7.163373283591641
use skin,7.08970406105009
great snack,7.059928008556155
love cappuccino,7.059491646570943
weight watchers,6.999847126474506
need add,6.9784032419257365
waste money,6.975618327683984
calorie per,6.950013214981869
organic coconut,6.939755791775095
say taste,6.907661859427883
far best,6.883022116344114
even well,6.824246130307332
think would,6.8043444971469205
one jar,6.758130641715016
bbq chip,6.73509432629589
oil great,6.734832779319651
make great,6.734676573322701
coffee shop,6.725214642035604
would buy,6.719583337557985
add _sweet_,6.697370617729279
per bag,6.673528788600507
large bag,6.65384226710572
next time,6.619213454245295
flavor coffee,6.593818759824525
weight watcher,6.592985972372148
rice cake,6.592722756758087
vinegar chip,6.56426531566164
milk _sweet_,6.452549019127249
healthy snack,6.448807474755283
plastic container,6.430887812919833
also great,6.426174364951229
use make,6.425087010997299
snack food,6.398873163443589
smell taste,6.397019093700996
oil good,6.390988789484788
find store,6.324641201360636
definitely buy,6.313382565059949
healthy alternative,6.30780357380005
use moisturizer,6.237219920653203
love pop,6.220398771210302
ingredient list,6.212966916022854
taste smell,6.128766352572317
use one,6.11923055921584
reasonable price,6.108989696876119
best chip,6.09457130410041
glass jar,6.068068190794615
high heat,6.056048599132021
smell great,6.044292816832361
oil love,6.0293340046900745
coffee maker,6.005956984278896
coconut smell,6.002381052253349
chip ever,5.998966321607566
small bag,5.971028678594237
flavor good,5.965707275296093
free shipping,5.965387299322376
could find,5.961858366579397
year old,5.949880679760351
chip love,5.948908311679895
place butter,5.936843724828713
bake good,5.9322897584634635
smell good,5.904214910067953
thought would,5.898926952128661
bake chip,5.896222231070641
would definitely,5.888886110955013
hard find,5.846522560222405
instead butter,5.810461726230328
way well,5.808477053730974
read review,5.795321949419631
way _sweet_,5.783844810178008
size bag,5.763849941871702
bag chip,5.7582795454295335
one favorite,5.732614184149688
convenience store,5.7187619600036825
room temperature,5.716942228422756
cappuccino cups,5.679194278922673
love use,5.67461235434094
flavor popchips,5.672337308005729
even tho_good_taste_,5.667831240286688
light coconut,5.65642777335947
buy product,5.646939463579024
cup cappuccino,5.6263655697953086
traditional chip,5.617141338726328
coffee instant,5.606726871068026
brand coconut,5.596366888104861
nutiva coconut,5.579652374312056
little bit,5.545824243303511
order amazon,5.530897100370894
hint coconut,5.530606831809221
good flavor,5.508581513249046
parmesan garlic,5.4976520203470045
chip best,5.462397937367362
serve bag,5.453952634420179
love stuff,5.431956713226135
high quality,5.430329665912601
love _sweet_,5.428383262453161
local store,5.412153413394219
use place,5.398851390525142
weight loss,5.393563062383498
taste really,5.3900751413074435
taste coffee,5.389694870312147
one bag,5.383330323717071
use bake,5.3804730749567184
use face,5.37550756474611
flavor _good_taste_,5.369137894481458
real coffee,5.365057191086573
real cappuccino,5.3552327941988676
lot flavor,5.348596468820185
cappuccino taste,5.343175483246397
light flavor,5.340951103274508
work great,5.296223853814
chip really,5.276057436288602
good quality,5.272965739569705
get gas,5.272186108305321
lime flavor,5.2485484154202275
different brand,5.224335569898734
try love,5.218678075010619
health food,5.207775694238282
definitely recommend,5.187651681068594
definitely order,5.171622450336061
amazon com,5.163392173513568
solid room,5.152664735206658
taste _sweet_,5.128003479633159
caramel flavor,5.121018180396391
hot cocoa,5.120542853260273
buy case,5.111227186635137
little _savory_,5.093337088115944
cooking oil,5.054288814531493
price good,5.0276045805725325
good thing,5.005547947164095
use instead,4.9940461221843595
vinegar flavor,4.987079107775475
whole bag,4.978669581846437
cup set,4.94720313387336
eat chip,4.94422243285719
cappuccino good,4.939828564571607
price right,4.9215231974726485
order product,4.917984568686108
rice flour,4.889106528267476
love coffee,4.881512531039699
chip flavor,4.879925890127656
oil one,4.877288654766439
well use,4.868729180582979
oil make,4.848832505428676
oil find,4.83208236526098
benefit coconut,4.812657263579036
taste cappuccino,4.801506165267881
make popcorn,4.796839612338062
gluten free,4.796484877996323
month ago,4.769201824411377
even use,4.767502258347877
hair conditioner,4.7652478433314895
every morning,4.749847322310871
decide give,4.738653605773342
vend machine,4.731207970830441
must say,4.727220985028801
long time,4.7272117475882425
make sure,4.722774752027217
flavor would,4.72111485657541
_good_taste_ chip,4.720904407574513
different flavor,4.7161516004579
look forward,4.706523023921281
buy brand,4.701803431683513
vanilla flavor,4.684475095671715
really taste,4.67851413141935
two pack,4.62942667468407
right amount,4.617684128065899
first try,4.6171334265917245
every time,4.613866361858173
calorie fat,4.5947098896968015
find amazon,4.566043781627004
best flavor,4.560243084355719
pleasantly surprise,4.546433449981978
use butter,4.544531111800472
flavor also,4.542957030017467
hazelnut cappuccino,4.53493075901489
trans fat,4.534637755805946
try get,4.53043976260928
great chip,4.504977082316778
great crunch,4.496112531473462
make hair,4.495310473767014
much healthy,4.493840561425889
potato popchips,4.484106306794971
coffee flavor,4.4824780534560285
would taste,4.477043983003348
fat chip,4.467578435447798
well worth,4.467404248569483
several time,4.452284640348822
eat whole,4.450577708134761
flavor love,4.447849271270266
taste even,4.43473456026476
taste bad,4.421473774439457
wish could,4.415409626518667
convenient store,4.396118937100062
cook bake,4.389082294487878
find product,4.38152903360003
buy bulk,4.362128026120794
cook oil,4.358269917730693
best coconut,4.353442217274848
try different,4.332708142894684
cheddar flavor,4.332195199318747
far favorite,4.323432230362172
good buy,4.300345318136191
decide try,4.287352839539451
great alternative,4.2863984893723455
nutiva brand,4.2767273959038254
product try,4.266386567132147
keurig coffee,4.252617661713973
keurig brewer,4.248312320556951
canola oil,4.248122787608169
little _sweet_,4.239934722658839
drink coffee,4.235618384788328
make cup,4.234133065862311
good skin,4.220153200595515
flavor right,4.216297497056214
time use,4.192858036158048
_savory_ snack,4.178728619855375
stay away,4.177958584321568
skin care,4.177512613058366
food store,4.1763807631477565
taste nothing,4.164764812898864
skin soft,4.151977453678535
per cup,4.141147809254338
smooth taste,4.1385633310765835
conditioner hair,4.136641900720259
many thing,4.127868802507177
get use,4.124847356880156
store buy,4.0972510175717
time order,4.089951431643851
flavor best,4.079190911116331
best price,4.078503059631125
flavor use,4.0772256517108305
worth try,4.055867616800603
one kitchen,4.0500453772771525
get two,3.9945488797006234
use use,3.994437913400527
_sweet_ _savory_,3.97627120850582
flavor really,3.9754139290103834
calorie snack,3.974406146729075
pan fry,3.952717434748483
big fan,3.9515377503685
would give,3.9140890319782717
would try,3.911101242674298
really love,3.8755785887793417
add cream,3.8699924833877484
oil coconut,3.867409987689008
much flavor,3.8600278388591223
chip calorie,3.8535595522670576
cook coconut,3.846150189109506
want something,3.8419416203602705
try many,3.8333915788312285
try use,3.8155238929585273
flavor strong,3.813554547543963
great cooking,3.813398907284943
chip try,3.807862895465191
cook use,3.8037096653160813
good choice,3.786936703591852
body moisturizer,3.779571249957868
one day,3.778166474647132
brand one,3.777551873537125
flavor taste,3.77170109730908
really _good_taste_,3.770273233672619
would good,3.7551807820478573
continue buy,3.7209271879981767
could get,3.717121972895452
think taste,3.709430730311158
try several,3.666736713047742
alternative regular,3.6605434997017623
_sweet_ flavor,3.654949802930278
local grocery,3.6549377487665513
_good_taste_ also,3.637849587465969
plastic jar,3.637636364722113
give star,3.6367071501069863
taste texture,3.636482667037931
find local,3.6103282269421912
good well,3.5970662311918438
taste product,3.5902197422833124
best taste,3.5893227737711797
strong taste,3.587687725130111
first bag,3.572261469712381
never try,3.5711380818994343
_sweet_ coffee,3.5604375983042833
flavor chip,3.5596453605768383
calorie bag,3.558823337465652
write review,3.5557720137611613
much cheap,3.551737477845106
light crunchy,3.547685351379363
diaper rash,3.5462640855161025
eat bag,3.542897553316858
chip low,3.5401862951648857
big bag,3.536381093191487
one thing,3.5238478578135597
love _savory_,3.5224842652167645
last week,3.517023596998337
body lotion,3.501293369194199
tried flavor,3.492281994879436
could eat,3.477898307081322
per serve,3.4706797445832995
healthy regular,3.463969943841077
new favorite,3.4610265144627554
flavor well,3.4444375970952024
come back,3.4417863630354364
spread toast,3.4414203559955245
hair use,3.4298941673921766
look something,3.4179655016418886
organic cold,3.4076019926513452
popchips taste,3.3969841212926863
keurig cup,3.3963710909131413
pretty much,3.3706787377079217
butter toast,3.3695698550689315
barbecue flavor,3.3602285914928753
slight coconut,3.2995509249275745
oil hair,3.293742494495642
large cup,3.2931444170948456
lose weight,3.277301450826574
oil smell,3.266729189948487
want try,3.2582821147877787
oil butter,3.2154388612541887
ounce bag,3.1875781542402786
low sodium,3.144988758098581
oil try,3.129170363810208
artificial flavor,3.122169601279736
oil pull,3.1183096297000414
taste little,3.118135616070449
try popchips,3.1177625573545416
benefit use,3.1168186740082855
oil ever,3.116675098597789
caramel cappuccino,3.1166474311722863
would highly,3.0906798028084523
love smell,3.0805093062411366
chip bag,3.074539597640442
chip would,3.0423666516174173
oil solid,3.0352022653760895
fry chip,3.024286731075688
one bathroom,3.012687336103411
first thing,3.008886838989576
portion control,2.9943762803701586
flavor try,2.9855195712360607
healthier alternative,2.9793446774226657
calorie gram,2.9549263806068184
subtle coconut,2.9349829737212585
absolute favorite,2.9349397974437204
bag calorie,2.9216500729376413
coconut scent,2.9197492726557734
chip chip,2.9105280084555987
alternative chip,2.8929416577822487
light airy,2.878557423579166
good chip,2.8635250332272837
try one,2.8572856649110068
hair soft,2.8513004996494677
review product,2.8361050638893683
substitute butter,2.8356159507860568
chip lover,2.8263989437521317
oil think,2.8254239940238817
flavor _sweet_,2.821567556696758
oil miracle,2.8160931116711176
oil ounce,2.804716268538446
oil treatment,2.7910629481062568
oil buy,2.775553623164283
skin moisturizer,2.735310688025956
high fat,2.7193397750114547
try first,2.713839031606082
fat low,2.6865652487235137
bag one,2.6850082085907605
kettle chip,2.677226228734791
try coconut,2.674833821330111
many people,2.674343841426086
oil many,2.598089773844168
first order,2.5454436189780183
cups french,2.5269721359539155
food taste,2.46702732224963
medium chain,2.392025154047024
would great,2.3839579230093
serve cup,2.295830344401618
coconut water,2.222457190127297
cup keurig,2.192640004517419
fat fat,2.123474530604391
oil skin,2.0374260288288615
cup brewers,1.9726620606290937
brewers count,1.9630312334154665
sunflower safflower,1.9223519784699417
